epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.245,1.04291,1.22966,1.1634,0.66727,0.70259,0.68695,0.5272,0.87818,1.5113,1.01236,0.000658915,0.000658915,0.000658915
2,210.344,1.06673,1.15625,1.1771,0.71379,0.67862,0.70839,0.52723,0.97194,1.0723,1.07688,0.00125997,0.00125997,0.00125997
3,323.298,1.12086,1.17242,1.19725,0.64005,0.64966,0.5597,0.39238,1.07644,1.32573,1.14876,0.00179502,0.00179502,0.00179502
4,425.589,1.09103,1.16499,1.19517,0.19116,0.49103,0.12468,0.08356,1.3325,3.63695,1.38279,0.001703,0.001703,0.001703
5,535.286,1.07939,1.16438,1.18688,0.74638,0.71443,0.75708,0.54286,1.03895,1.03179,1.10894,0.001604,0.001604,0.001604
6,645.212,1.00747,1.02337,1.14619,0.75701,0.73379,0.77288,0.57736,0.90639,0.9469,1.052,0.001505,0.001505,0.001505
7,755.605,0.97119,0.95167,1.13801,0.73302,0.71586,0.77384,0.57291,0.93869,0.97275,1.05639,0.001406,0.001406,0.001406
8,865.694,0.94187,0.94539,1.11618,0.80798,0.73103,0.79663,0.6136,0.881,0.86032,1.05395,0.001307,0.001307,0.001307
9,976.433,0.90331,0.92739,1.09213,0.60215,0.69793,0.57571,0.43976,0.88294,0.96791,1.05811,0.001208,0.001208,0.001208
10,1085.5,0.90427,0.88598,1.1027,0.76795,0.78056,0.79634,0.60698,0.8475,0.8538,1.0426,0.001109,0.001109,0.001109
11,1195.4,0.80711,0.83938,1.05071,0.79921,0.81803,0.83296,0.63086,0.82623,0.77205,1.05301,0.00101,0.00101,0.00101
12,1305.52,0.80026,0.87394,1.05277,0.77802,0.8069,0.81009,0.62175,0.81704,0.78795,1.0089,0.000911,0.000911,0.000911
13,1415.45,0.83387,0.85328,1.06692,0.78843,0.76585,0.80129,0.62255,0.79497,0.80318,1.00201,0.000812,0.000812,0.000812
14,1521.46,0.77171,0.78238,1.02553,0.80025,0.81379,0.8357,0.65993,0.77622,0.74538,1.001,0.000713,0.000713,0.000713
15,1625.02,0.77925,0.76884,1.04954,0.83095,0.81358,0.84213,0.66586,0.76278,0.71987,1.0061,0.000614,0.000614,0.000614
16,1728.42,0.75809,0.73189,1.02156,0.82744,0.80966,0.84172,0.66874,0.77529,0.7156,0.99703,0.000515,0.000515,0.000515
17,1831.8,0.71839,0.70124,1.00157,0.78818,0.81603,0.84091,0.65099,0.77421,0.73683,0.99892,0.000416,0.000416,0.000416
18,1934.69,0.7065,0.68606,0.99533,0.79615,0.80268,0.84841,0.67988,0.69534,0.69228,0.97051,0.000317,0.000317,0.000317
19,2036.67,0.66462,0.64799,0.973,0.7798,0.83448,0.8468,0.68039,0.69667,0.68803,0.97111,0.000218,0.000218,0.000218
20,2139.32,0.67756,0.62943,0.97894,0.79695,0.83862,0.85261,0.67149,0.72659,0.67673,0.98351,0.000119,0.000119,0.000119
